Age;Sucateamento
0;0,997612624
1;0,994828398
2;0,989852731
3;0,981736003
4;0,969509587
5;0,952331055
6;0,929618139
7;0,901140118
8;0,867050277
9;0,827860104
10;0,784368874
11;0,737568343
12;0,688542033
13;0,638374207
14;0,588077658
15;0,538543835
16;0,490514587
17;0,444572204
18;0,401143346
19;0,360512322
20;0,322839772
21;0,288183618
22;0,256520029
23;0,227762941
24;0,201781297
25;0,178413659
26;0,157480152
27;0,138791915
28;0,122158327
29;0,107392348
30;0,094314286
31;0,082754318
32;0,072554013
33;0,063567116
34;0,055659766
35;0,048710317
36;0,042608878
37;0,037256675
38;0,032565299
39;0,028455905
40;0,024858392
41;0,021710597
42;0,018957522
43;0,0165506
44;0,014447016
45;0,012609082
46;0,011003661
47;0,009601652
48;0,008377519
49;0,007308877
50;0,006376113
51;0,005562056
52;0,004851678
53;0,004231835
54;0,003691035
55;0,003219234
56;0,002807656
57;0,002448633
58;0,00213547
59;0,001862321
60;0,001624082
61;0,001416298
62;0,001235082
63;0,00107704
64;0,000939212
65;0,000819014
